id;name;slug;uic;uic8_sncf;latitude;longitude;parent_station_id;is_city;country;is_main_station;time_zone;is_suggestable;sncf_id;sncf_tvs_id;sncf_is_enabled;idtgv_id;idtgv_is_enabled;db_id;db_is_enabled;busbud_id;busbud_is_enabled;ouigo_id;ouigo_is_enabled;trenitalia_id;trenitalia_is_enabled;trenitalia_rtvt_id;ntv_rtiv_id;ntv_id;ntv_is_enabled;hkx_id;hkx_is_enabled;renfe_id;renfe_is_enabled;atoc_id;atoc_is_enabled;benerail_id;benerail_is_enabled;sncf_self_service_machine;same_as;info:de;info:en;info:es;info:fr;info:it;info:nl;info:cs;info:da;info:hu;info:ja;info:ko;info:pl;info:pt;info:ru;info:sv;info:tr;info:zh
61;Labège Innopole;labege-innopole;8761200;87612002;43.5473613;1.5129784;60;f;FR;t;Europe/Paris;t;FRFRV;;t;;f;8702524;f;;f;;f;;f;;;;f;;f;;f;;f;;f;f;;;;;;;;;;;;;;;;;;
62;Labège Village;labege-village;8761202;87612028;43.5305367;1.5329207;60;f;FR;f;Europe/Paris;t;FRFRX;;t;;f;8702526;f;;f;;f;;f;;;;f;;f;;f;;f;;f;f;;;;;;;;;;;;;;;;;;
63;Azay-le-Rideau Mairie;azay-le-rideau-mairie;8711029;87110296;47.2666670000;0.4666670000;5083;f;FR;f;Europe/Paris;t;FRABR;;t;;f;8702748;f;;f;;f;;f;;;;f;;f;;f;;f;;f;f;;;;Castillo de Azay-le-Rideau;;;;;;;アゼ＝ル＝リドー城;아제르리도;;;Азе-лё-Ридо;;;阿泽莱里多
64;Albas;albas;8761375;87613752;44.4666670000;1.2333330000;9007;f;FR;t;Europe/Paris;t;FRABS;;t;;f;8702636;f;;f;;f;;f;;;;f;;f;;f;;f;;f;f;;;;;;;;;;;;;;;;;;
65;Abancourt;abancourt;8731375;87313759;49.6852237;1.7743058;;f;FR;f;Europe/Paris;t;FRABT;ABT;t;;f;8700251;f;;f;;f;;f;;;;f;;f;8700885;f;;f;FRABT;f;f;;;;;;;;;;;;;;;;;;
66;Lunel;lunel;;;43.6833330000;4.1333330000;;t;FR;f;Europe/Paris;f;FRABV;;t;;f;;f;;f;;f;;f;;;;f;;f;;f;;f;;f;t;;;;;;;;;;;;;;;;;;
67;Lunel-Viel;lunel-viel;8777342;87773424;43.6811729;4.0937398;66;f;FR;f;Europe/Paris;t;FRIJC;;t;;f;8701461;f;;f;;f;;f;;;;f;;f;;f;;f;;f;f;;;;;;;;;;;;;;;;;;
68;Lunel;lunel;8777340;87773408;43.679392;4.131086;66;f;FR;t;Europe/Paris;t;FRIJB;LUN;t;;f;8702315;f;;f;;f;;f;;;;f;;f;8700276;f;;f;FRIJB;f;t;;;;;;;;;;;;;;;;;;
72;Moirans;moirans;8774732;87747329;45.322185;5.581915;4774;f;FR;t;Europe/Paris;t;FRABZ;MOA;t;;f;8700009;f;;f;;f;;f;;;;f;;f;8700010;f;;f;FRABZ;f;f;;;;;;;;;;;;;;;;;;
73;Arc-et-Senans;arc-et-senans;8771884;87718841;47.0303516;5.7767843;;f;FR;f;Europe/Paris;t;FRACA;;t;;f;8702456;f;;f;;f;;f;;;;f;;f;;f;;f;;f;f;;;;;;;;;;;;;;;;;;
74;Accolay;accolay;8768365;87683656;47.6666670000;3.7166670000;;f;FR;f;Europe/Paris;t;FRACC;;t;;f;8702616;f;;f;;f;;f;;;;f;;f;;f;;f;;f;f;;;;;;;;;;;;;;;;;;
76;Dole Ville;dole-ville;8771341;87713412;47.096084;5.488105;1845;f;FR;t;Europe/Paris;t;FRACE;DLE;t;;f;8700116;f;;f;;f;;f;;;;f;;f;8700210;f;;f;FRACE;f;t;;;;;;;;;;;;;;;Доля;;;
